Temp (K) +/- 0.5, Resistance (Ohms) +/- 0.1
8.193456304225324516e+01,-4.860948619261931669e-02
8.366777470486272250e+01,-2.185232677950939839e-01
9.429220063264426699e+01,1.611216181398957659e+01
1.006557137642373903e+02,1.580893771245998458e+01
1.013275947930960257e+02,1.608260915457112716e+01
1.083921223934614346e+02,1.580701710110318992e+01
1.091440423880177661e+02,1.562305871276485192e+01
1.104227476611911669e+02,1.567253712758885165e+01
1.153139822282365969e+02,1.578262774644984390e+01
1.382222886150615011e+02,1.564413134391412363e+01
1.413421511162271997e+02,1.572976853048231582e+01
1.418189888021580884e+02,1.566102559106288616e+01
1.525139601501693960e+02,1.594975733659925332e+01
1.542327655788655534e+02,1.595971192693868090e+01
1.590763781937617978e+02,1.626886904845794390e+01
1.646891183597496138e+02,1.595559924251372586e+01
1.726328786587936293e+02,1.585593212691901499e+01
1.743917258629767844e+02,1.618642060866785215e+01
1.750622395486437881e+02,1.551453184701916932e+01
1.832580819426642051e+02,1.555036923992341968e+01
1.844824084222744034e+02,1.593578693623436848e+01
1.869208964261497954e+02,1.573358262494156001e+01
1.879188955446398097e+02,1.614845299159012271e+01
1.885506445989594226e+02,1.573524372741184330e+01
1.927809652281503077e+02,1.596043758338802654e+01
1.946181179980381728e+02,1.564535490257451755e+01
1.967815026542330656e+02,1.592352567051924339e+01
1.968502267640965897e+02,1.622139676294209920e+01
2.041516125688268062e+02,1.564206453006755915e+01
2.075624390215032804e+02,1.573355466842226136e+01
2.076400667331218983e+02,1.580462051606228258e+01
2.080016845183742760e+02,1.555651109588588099e+01
2.092702016156181344e+02,1.572099858742587664e+01
2.158791018831971371e+02,1.555816265647978369e+01
2.168252099005934781e+02,1.586600376460986617e+01
2.173001463335559720e+02,1.602083006367452001e+01
2.355056839488940739e+02,1.618507759234857701e+01
2.378856928428644721e+02,1.570982180077747792e+01
2.427656587748060701e+02,1.618410885112752950e+01
2.440355856170303070e+02,1.577365272313883970e+01
2.554289242071071726e+02,1.611194825597313596e+01
2.574728274228920668e+02,1.591334410500168950e+01
2.579592916697314422e+02,1.631717679200181337e+01
2.584954309522813105e+02,1.634329360731320335e+01
2.648013393473874544e+02,1.605651445644912201e+01
2.671882636246280072e+02,1.557504070327672174e+01
2.778295481698852427e+02,1.614290826679211932e+01
2.778977864942724523e+02,1.591896413876228245e+01
2.877032048675602596e+02,1.608410502769862305e+01
2.906791115258115497e+02,1.583939507025501214e+01
