Temp (K) +/- 0.5, Resistance (Ohms) +/- 0.1
8.250948588370637538e+01,-1.606745515243024613e-01
8.372527972159517162e+01,3.405300563748623333e-01
8.537118684027282711e+01,-1.295403577388450633e-01
8.838571120531314307e+01,3.556766841977091476e-01
9.507561564309968105e+01,1.576377035351754330e+01
9.939272549871232343e+01,1.603976791716634409e+01
1.042656823169335070e+02,1.564518906366667927e+01
1.182219699873639911e+02,1.599703372877376673e+01
1.211301558202398780e+02,1.592427431282505168e+01
1.239679318410883013e+02,1.583341309841600797e+01
1.260586556677779697e+02,1.584733027904153246e+01
1.366344386887532494e+02,1.582165284673001970e+01
1.373762053899358477e+02,1.582455105102897619e+01
1.381883002265606137e+02,1.582839480812583943e+01
1.401427269403166633e+02,1.578540000905914731e+01
1.458788568526226754e+02,1.581469785384246229e+01
1.483180135511319691e+02,1.550296597399616516e+01
1.501809769289985184e+02,1.577395672654819414e+01
1.539847344971905443e+02,1.597347786930945546e+01
1.558481025526500616e+02,1.588493288063438413e+01
1.628527868782756514e+02,1.624046534220691740e+01
1.728489105435205602e+02,1.567455402264060993e+01
1.737862056468854064e+02,1.599708412402105218e+01
1.746217812081944487e+02,1.559679482792772731e+01
1.748067341428957207e+02,1.584086187846694749e+01
1.769984677201618126e+02,1.584114029359264464e+01
1.791549969968633889e+02,1.575922410785613614e+01
1.815144088851548929e+02,1.563175716226567147e+01
1.916473792620521124e+02,1.573030622317968330e+01
1.945890370592009901e+02,1.549740710603737348e+01
2.034743216632244014e+02,1.569377338071666728e+01
2.057117708715790627e+02,1.608067317499791216e+01
2.058740862758795345e+02,1.605718046740585336e+01
2.140672066967093201e+02,1.628292994187924592e+01
2.215153947090780093e+02,1.589136983332545228e+01
2.296701837252703058e+02,1.619904304002875151e+01
2.312358335087514831e+02,1.589321453793983174e+01
2.315331531743286746e+02,1.591933794152688009e+01
2.344554875227432547e+02,1.597766685856736935e+01
2.416074124570133108e+02,1.612975647260063639e+01
2.420222593090050793e+02,1.608180312730544514e+01
2.446805415457000947e+02,1.632440807600631061e+01
2.469729855947640829e+02,1.600679126416473963e+01
2.697611858337467652e+02,1.594616380636924191e+01
2.769961421274438180e+02,1.590812693192184035e+01
2.796788392226343376e+02,1.591743602519237832e+01
2.810495639679456303e+02,1.536932764849660771e+01
2.862603649374435122e+02,1.607848022448483150e+01
2.869149074859319057e+02,1.585753583847269965e+01
2.937643644186777578e+02,1.614559342316262658e+01
