Temp (K) +/- 0.5, Resistance (Ohms) +/- 0.1
8.486496294922268646e+01,9.963625728816112581e-02
8.956864609890062923e+01,-1.277816269605825950e-01
9.239715799007791475e+01,1.414336518514417163e-01
9.832236216035181542e+01,1.597326920082045376e+01
1.011135706123680364e+02,1.585056801813099625e+01
1.022754911921549450e+02,1.576786583126951768e+01
1.070655823887182123e+02,1.631003702021931545e+01
1.216742772303104800e+02,1.608151355589492937e+01
1.244295858229340581e+02,1.614963098692165389e+01
1.317955553689649548e+02,1.558400370196755524e+01
1.322879635659809026e+02,1.611435666680720402e+01
1.368304365374145277e+02,1.573022504541158284e+01
1.368877501525103071e+02,1.573651324205023094e+01
1.372519646737009680e+02,1.591019999835966381e+01
1.390738587807943247e+02,1.574515512115199734e+01
1.425868136627255183e+02,1.563278835386198118e+01
1.429119401134776979e+02,1.604636345426218824e+01
1.525783905746769733e+02,1.569804995981241902e+01
1.617751527499066526e+02,1.577317398302550444e+01
1.647721554167083866e+02,1.576901651730975651e+01
1.675951682820673341e+02,1.598324931016353467e+01
1.687234491413056787e+02,1.614430787648371535e+01
1.700134802403865137e+02,1.600502437632246000e+01
1.709788759475187589e+02,1.582319771952695042e+01
1.759280532633558209e+02,1.578925602914240578e+01
1.776695118941798057e+02,1.564679553742757001e+01
1.809302343113900804e+02,1.608488287421192453e+01
1.836711808540194113e+02,1.598883504846209469e+01
1.837021685163550444e+02,1.598761431793626642e+01
2.027702911868231297e+02,1.590604346578443540e+01
2.051007430381516770e+02,1.584000668025245773e+01
2.072192532231631219e+02,1.593816163088293258e+01
2.082654622745546646e+02,1.588952636902715376e+01
2.156035872760360803e+02,1.562662439249353064e+01
2.177250992250091031e+02,1.599242268031163405e+01
2.182886118007690754e+02,1.605537560918356732e+01
2.188278121871333326e+02,1.598713169728065076e+01
2.227421701559064218e+02,1.619227855836263430e+01
2.240445678882282721e+02,1.572569780813999785e+01
2.256039963160678212e+02,1.591463948153506891e+01
2.265565682032469965e+02,1.576739131932930604e+01
2.449366937704550367e+02,1.616850789148577405e+01
2.558232080023134642e+02,1.576733561831994912e+01
2.576883320854736894e+02,1.585275407680723347e+01
2.642444713497928888e+02,1.586461258273689445e+01
2.767052561417841048e+02,1.617335742458119086e+01
2.879530508882382946e+02,1.570314529175926843e+01
2.885894435506339732e+02,1.581061102119609529e+01
2.891902859827342809e+02,1.583266758252455908e+01
2.927580536410135892e+02,1.615775863600236661e+01
