Temp (K) +/- 0.5, Resistance (Ohms) +/- 0.1
8.223335021194895944e+01,3.037550018232878513e-01
9.170430439709815573e+01,4.568044446617797738e-01
9.357543852629460446e+01,1.599957608611969206e+01
9.988554195651958878e+01,1.591037448605893978e+01
1.018223750737512461e+02,1.546197400460349236e+01
1.026241032465777323e+02,1.627060307079585044e+01
1.030205055599635102e+02,1.565859265924269650e+01
1.046673147641781156e+02,1.614990787569335851e+01
1.137259696318376712e+02,1.576992344980370753e+01
1.251832906851670941e+02,1.568258613994738404e+01
1.256521175470703469e+02,1.630076084093193245e+01
1.283987202210888938e+02,1.588821894926694966e+01
1.308750941248033541e+02,1.594382210558462987e+01
1.348888385034768476e+02,1.601255774592271663e+01
1.369881629997983623e+02,1.624027505954962791e+01
1.396846179785705715e+02,1.573160104266884041e+01
1.663550997627028494e+02,1.584976482860764690e+01
1.664332221627667820e+02,1.597596531787996099e+01
1.690743638022341031e+02,1.597291123592682993e+01
1.753595454727501988e+02,1.619377999777283961e+01
1.775649252219253356e+02,1.594044823939616506e+01
1.818265986269627206e+02,1.574591523490087575e+01
1.835687833879487982e+02,1.582471966136392716e+01
1.849883092007653147e+02,1.610229716538812994e+01
1.890240086576232557e+02,1.574130631420759308e+01
1.893105272477976371e+02,1.580570539742954850e+01
2.006594831274040303e+02,1.599076305992262448e+01
2.010391514324759896e+02,1.590544600331169711e+01
2.015206941763702275e+02,1.600718364091780188e+01
2.018042319509875711e+02,1.571844467257896660e+01
2.026901698710111646e+02,1.577799651921812618e+01
2.170185275548087986e+02,1.572726593866291545e+01
2.173029164042760613e+02,1.594980084657349018e+01
2.180335216123395128e+02,1.548582043991707202e+01
2.200752957295433134e+02,1.607062494266562069e+01
2.204373163419606669e+02,1.569313074137558139e+01
2.262705801528039160e+02,1.603927628132497318e+01
2.331043211051771209e+02,1.610936453389089351e+01
2.349896654447887272e+02,1.617163526144068086e+01
2.447064926540313365e+02,1.531108472351901639e+01
2.490546147924174818e+02,1.576905165898456929e+01
2.559042144932714109e+02,1.605636271809559545e+01
2.646358240500260877e+02,1.556309019108376113e+01
2.668620226198296450e+02,1.629277590606083237e+01
2.711668198045424560e+02,1.604433911108511879e+01
2.744015837814553151e+02,1.605129930943691363e+01
2.747259325840373094e+02,1.610881403296104253e+01
2.810557777370275971e+02,1.585332249981529351e+01
2.846412469161115268e+02,1.581158250742394245e+01
2.893699586393381651e+02,1.568016982404703619e+01
